id,name,version,rarity,rate,start_date,end_date,is_rerun,is_limited,banner_image
1,Rice Shower,,3*,0.3333,24/02/2021,02/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30002.png
2,Symboli Rudolf,,3*,0.3333,24/02/2021,02/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30002.png
3,Mejiro McQueen,,3*,0.3333,24/02/2021,02/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30002.png
4,Taiki Shuttle,,3*,0.3333,24/02/2021,02/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30002.png
5,Oguri Cap,,3*,0.3333,24/02/2021,02/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30002.png
6,Maruzensky,,3*,0.3333,24/02/2021,02/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30002.png
7,Tokai Teio,,3*,0.3334,24/02/2021,02/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30002.png
8,Silence Suzuka,,3*,0.3334,24/02/2021,02/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30002.png
9,Special Week,,3*,0.3334,24/02/2021,02/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30002.png
10,TM Opera O,,3*,0.75,02/03/2021,09/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30004.png
11,Mihono Bourbon,,3*,0.75,09/03/2021,18/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30006.png
12,Biwa Hayahide,,3*,0.75,18/03/2021,30/03/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30008.png
13,Mejiro McQueen,Anime Collab,3*,0.5,30/03/2021,15/04/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30010.png
14,Tokai Teio,Anime Collab,3*,0.5,30/03/2021,15/04/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30010.png
15,Curren Chan,,3*,0.75,15/04/2021,26/04/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30012.png
16,Narita Taishin,,3*,0.75,26/04/2021,06/05/2021,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30014.png
17,Smart Falcon,,3*,0.75,06/05/2021,17/05/2021,FALSE,TRUE,
18,Narita Brian,,3*,0.75,17/05/2021,28/05/2021,FALSE,TRUE,
19,Air Groove,Wedding,3*,0.75,28/05/2021,10/06/2021,FALSE,TRUE,
20,Mayano Top Gun,Wedding,3*,0.75,28/05/2021,10/06/2021,FALSE,TRUE,
21,Seiun Sky,,3*,0.75,10/06/2021,21/06/2021,FALSE,TRUE,
22,Hishi Amazon,,3*,0.75,21/06/2021,29/06/2021,FALSE,TRUE,
23,Grass Wonder,Fantasy,3*,0.75,29/06/2021,12/07/2021,FALSE,TRUE,
24,El Condor Pasa,Fantasy,3*,0.75,29/06/2021,12/07/2021,FALSE,TRUE,
25,Fuji Kiseki,,3*,0.75,12/07/2021,20/07/2021,FALSE,TRUE,
26,Gold City,,3*,0.75,20/07/2021,29/07/2021,FALSE,TRUE,
27,Maruzensky,Summer,3*,0.75,29/07/2021,11/08/2021,FALSE,TRUE,
28,Special Week,Summer,3*,0.75,29/07/2021,11/08/2021,FALSE,TRUE,
29,Meisho Doto,,3*,0.75,11/08/2021,20/08/2021,FALSE,TRUE,
30,Eishin Flash,,3*,0.75,20/08/2021,30/08/2021,FALSE,TRUE,
31,Matikanefukukitaru,Full Armor,3*,0.75,30/08/2021,10/09/2021,FALSE,TRUE,
32,Hishi Akebono,,3*,0.75,10/09/2021,20/09/2021,FALSE,TRUE,
33,Agnes Digital,,3*,0.75,20/09/2021,29/09/2021,FALSE,TRUE,
34,Super Creek,Halloween,3*,0.75,29/09/2021,11/10/2021,FALSE,TRUE,
35,Rice Shower,Halloween,3*,0.75,29/09/2021,11/10/2021,FALSE,TRUE,
36,Kawakami Princess,,3*,0.75,11/10/2021,20/10/2021,FALSE,TRUE,
37,Manhattan Cafe,,3*,0.75,20/10/2021,28/10/2021,FALSE,TRUE,
38,Gold City,Festival,3*,0.75,28/10/2021,08/11/2021,FALSE,TRUE,
39,Symboli Rudolf,Festival,3*,0.75,28/10/2021,08/11/2021,FALSE,TRUE,
40,Tosen Jordan,,3*,0.75,08/11/2021,19/11/2021,FALSE,TRUE,
41,Mejiro Dober,,3*,0.75,19/11/2021,29/11/2021,FALSE,TRUE,
42,Biwa Hayahide,Christmas,3*,0.75,29/11/2021,14/12/2021,FALSE,TRUE,
43,Oguri Cap,Christmas,3*,0.75,29/11/2021,14/12/2021,FALSE,TRUE,
44,Fine Motion,,3*,0.75,14/12/2021,22/12/2021,FALSE,TRUE,
45,Tamamo Cross,,3*,0.75,22/12/2021,31/12/2021,FALSE,TRUE,
46,TM Opera O,New Year,3*,0.75,31/12/2021,11/01/2022,FALSE,TRUE,
47,Haru Urara,New Year,3*,0.75,31/12/2021,11/01/2022,FALSE,TRUE,
48,Sakura Chiyono O,,3*,0.75,20/01/2022,28/01/2022,FALSE,TRUE,https://gametora.com/images/umamusume/gacha/img_bnr_gacha_30066.png
49,Eishin Flash,Valentine,3*,0.75,28/01/2022,08/02/2022,FALSE,TRUE,
50,Mihono Bourbon,Valentine,3*,0.75,28/01/2022,08/02/2022,FALSE,TRUE,
51,Mejiro Ardan,,3*,0.75,08/02/2022,16/02/2022,FALSE,TRUE,
52,Admire Vega,,3*,0.75,16/02/2022,24/02/2022,FALSE,TRUE,
53,Kitasan Black,,3*,0.75,24/02/2022,07/03/2022,FALSE,TRUE,
54,Matikanetannhauser,,2*,2.25,24/02/2022,07/03/2022,FALSE,TRUE,
55,Satono Diamond,,3*,0.75,07/03/2022,18/03/2022,FALSE,TRUE,
56,Mejiro Bright,,3*,0.75,18/03/2022,29/03/2022,FALSE,TRUE,
57,Fuji Kiseki,Ballroom,3*,0.75,29/03/2022,11/04/2022,FALSE,TRUE,
58,Seiun Sky,Ballroom,3*,0.75,29/03/2022,11/04/2022,FALSE,TRUE,
59,Nishino Flower,,3*,0.75,11/04/2022,19/04/2022,FALSE,TRUE,
60,Yaeno Muteki,,3*,0.75,19/04/2022,28/04/2022,FALSE,TRUE,
61,King Halo,Cheerleader,3*,0.75,28/04/2022,10/05/2022,FALSE,TRUE,
62,Nice Nature,Cheerleader,3*,0.75,28/04/2022,10/05/2022,FALSE,TRUE,
63,Ines Fujin,,3*,0.75,10/05/2022,20/05/2022,FALSE,TRUE,
64,Mejiro Palmer,,3*,0.75,20/05/2022,30/05/2022,FALSE,TRUE,
65,Fine Motion,Wedding,3*,0.75,30/05/2022,10/06/2022,FALSE,TRUE,
66,Curren Chan,Wedding,3*,0.75,30/05/2022,10/06/2022,FALSE,TRUE,
67,Inari One,,3*,0.75,10/06/2022,20/06/2022,FALSE,TRUE,
68,Sweep Tosho,,3*,0.75,20/06/2022,30/06/2022,FALSE,TRUE,
69,Mejiro Dober,Camping,3*,0.75,30/06/2022,11/07/2022,FALSE,TRUE,
70,Taiki Shuttle,Camping,3*,0.75,30/06/2022,11/07/2022,FALSE,TRUE,
